query_id	id	doc_id	chunk_id	label
0	eurlex_0__0	eurlex_0	0	Relevant
1	eurlex_0__0	eurlex_0	0	Irrelevant
2	eurlex_0__0	eurlex_0	0	Irrelevant
3	eurlex_0__1	eurlex_0	1	Relevant
4	eurlex_0__1	eurlex_0	1	Irrelevant
5	eurlex_0__1	eurlex_0	1	Irrelevant
6	eurlex_10__0	eurlex_10	0	Relevant
7	eurlex_10__1	eurlex_10	1	Irrelevant
8	eurlex_11__0	eurlex_11	0	Irrelevant
9	eurlex_11__0	eurlex_11	0	Irrelevant
10	eurlex_11__0	eurlex_11	0	Irrelevant
11	eurlex_11__1	eurlex_11	1	Relevant
12	eurlex_11__1	eurlex_11	1	Relevant
13	eurlex_12__0	eurlex_12	0	Relevant
14	eurlex_12__0	eurlex_12	0	Irrelevant
15	eurlex_12__0	eurlex_12	0	Irrelevant
16	eurlex_12__0	eurlex_12	0	Irrelevant
17	eurlex_12__0	eurlex_12	0	Irrelevant
18	eurlex_12__1	eurlex_12	1	Relevant
19	eurlex_12__1	eurlex_12	1	Irrelevant
20	eurlex_12__1	eurlex_12	1	Irrelevant
21	eurlex_13__0	eurlex_13	0	Irrelevant
22	eurlex_13__1	eurlex_13	1	Relevant
23	eurlex_13__1	eurlex_13	1	Irrelevant
24	eurlex_13__1	eurlex_13	1	Irrelevant
25	eurlex_13__1	eurlex_13	1	Irrelevant
26	eurlex_14__1	eurlex_14	1	Irrelevant
27	eurlex_15__1	eurlex_15	1	Relevant
28	eurlex_16__0	eurlex_16	0	Relevant
29	eurlex_16__0	eurlex_16	0	Irrelevant
30	eurlex_16__1	eurlex_16	1	Relevant
31	eurlex_16__1	eurlex_16	1	Relevant
32	eurlex_16__1	eurlex_16	1	Irrelevant
33	eurlex_17__0	eurlex_17	0	Irrelevant
34	eurlex_17__0	eurlex_17	0	Irrelevant
35	eurlex_17__0	eurlex_17	0	Irrelevant
36	eurlex_17__0	eurlex_17	0	Irrelevant
37	eurlex_17__1	eurlex_17	1	Irrelevant
38	eurlex_17__1	eurlex_17	1	Irrelevant
39	eurlex_17__2	eurlex_17	2	Irrelevant
40	eurlex_17__2	eurlex_17	2	Irrelevant
41	eurlex_17__3	eurlex_17	3	Irrelevant
42	eurlex_17__3	eurlex_17	3	Irrelevant
43	eurlex_17__3	eurlex_17	3	Irrelevant
44	eurlex_17__3	eurlex_17	3	Irrelevant
45	eurlex_17__4	eurlex_17	4	Irrelevant
46	eurlex_17__5	eurlex_17	5	Relevant
47	eurlex_17__5	eurlex_17	5	Relevant
48	eurlex_17__5	eurlex_17	5	Irrelevant
49	eurlex_17__5	eurlex_17	5	Irrelevant
50	eurlex_17__5	eurlex_17	5	Irrelevant
51	eurlex_17__5	eurlex_17	5	Irrelevant
52	eurlex_17__5	eurlex_17	5	Irrelevant
53	eurlex_17__6	eurlex_17	6	Irrelevant
54	eurlex_17__6	eurlex_17	6	Irrelevant
55	eurlex_17__6	eurlex_17	6	Irrelevant
56	eurlex_17__7	eurlex_17	7	Irrelevant
57	eurlex_17__7	eurlex_17	7	Irrelevant
58	eurlex_17__8	eurlex_17	8	Irrelevant
59	eurlex_17__8	eurlex_17	8	Irrelevant
60	eurlex_17__8	eurlex_17	8	Irrelevant
61	eurlex_17__8	eurlex_17	8	Irrelevant
62	eurlex_17__8	eurlex_17	8	Irrelevant
63	eurlex_17__8	eurlex_17	8	Irrelevant
64	eurlex_17__9	eurlex_17	9	Relevant
65	eurlex_17__9	eurlex_17	9	Irrelevant
66	eurlex_18__0	eurlex_18	0	Irrelevant
67	eurlex_18__0	eurlex_18	0	Irrelevant
68	eurlex_18__0	eurlex_18	0	Irrelevant
69	eurlex_18__0	eurlex_18	0	Irrelevant
70	eurlex_18__1	eurlex_18	1	Irrelevant
71	eurlex_18__2	eurlex_18	2	Relevant
72	eurlex_18__2	eurlex_18	2	Relevant
73	eurlex_18__3	eurlex_18	3	Irrelevant
74	eurlex_18__3	eurlex_18	3	Irrelevant
75	eurlex_18__3	eurlex_18	3	Irrelevant
76	eurlex_18__4	eurlex_18	4	Relevant
77	eurlex_18__4	eurlex_18	4	Irrelevant
78	eurlex_18__5	eurlex_18	5	Irrelevant
79	eurlex_18__6	eurlex_18	6	Relevant
80	eurlex_18__6	eurlex_18	6	Irrelevant
81	eurlex_18__6	eurlex_18	6	Irrelevant
82	eurlex_18__6	eurlex_18	6	Irrelevant
83	eurlex_18__7	eurlex_18	7	Relevant
84	eurlex_18__7	eurlex_18	7	Relevant
85	eurlex_18__7	eurlex_18	7	Irrelevant
86	eurlex_18__7	eurlex_18	7	Irrelevant
87	eurlex_18__8	eurlex_18	8	Irrelevant
88	eurlex_18__8	eurlex_18	8	Irrelevant
89	eurlex_18__8	eurlex_18	8	Irrelevant
90	eurlex_18__9	eurlex_18	9	Irrelevant
91	eurlex_18__9	eurlex_18	9	Irrelevant
92	eurlex_18__10	eurlex_18	10	Irrelevant
93	eurlex_18__10	eurlex_18	10	Irrelevant
94	eurlex_18__10	eurlex_18	10	Irrelevant
95	eurlex_18__10	eurlex_18	10	Irrelevant
96	eurlex_18__10	eurlex_18	10	Irrelevant
97	eurlex_18__10	eurlex_18	10	Irrelevant
98	eurlex_18__11	eurlex_18	11	Irrelevant
99	eurlex_18__11	eurlex_18	11	Irrelevant
100	eurlex_18__11	eurlex_18	11	Irrelevant
101	eurlex_18__11	eurlex_18	11	Irrelevant
102	eurlex_18__11	eurlex_18	11	Irrelevant
